gg/mm/aaaa;Precipitazione [mm];Tipo Dato
08/04/2017;0;V
09/04/2017;0;V
10/04/2017;0;V
11/04/2017;0;V
12/04/2017;0;V
13/04/2017;0;V
14/04/2017;0;V
15/04/2017;0;V
16/04/2017;0,4;V
17/04/2017;0;V
18/04/2017;0;V
19/04/2017;9,6;V
20/04/2017;0;V
21/04/2017;0;V
22/04/2017;0;V
23/04/2017;0;V
24/04/2017;0;V
25/04/2017;0;V
26/04/2017;0,4;V
27/04/2017;7,6;V
28/04/2017;17,2;V
29/04/2017;0;V
30/04/2017;0;V
01/05/2017;0;V
02/05/2017;7;V
03/05/2017;0,4;V
04/05/2017;12,6;V
05/05/2017;3,2;V
06/05/2017;0,4;V
07/05/2017;14,6;V
08/05/2017;9,4;V
09/05/2017;5,8;V
10/05/2017;0;V
11/05/2017;0;V
12/05/2017;0;V
13/05/2017;0;V
14/05/2017;0,2;V
15/05/2017;0;V
16/05/2017;0;V
17/05/2017;0;V
18/05/2017;0;V
19/05/2017;0;V
20/05/2017;2,8;V
21/05/2017;4;V
22/05/2017;0;V
23/05/2017;0;V
24/05/2017;0;V
25/05/2017;0;V
26/05/2017;0;V
27/05/2017;0;V
28/05/2017;0;V
29/05/2017;0;V
30/05/2017;0;V
31/05/2017;0;V
01/06/2017;0;V
02/06/2017;0;V
03/06/2017;0;V
04/06/2017;0;V
05/06/2017;0;V
06/06/2017;0;V
07/06/2017;0;V
08/06/2017;0;V
09/06/2017;0;V
10/06/2017;0;V
11/06/2017;0;V
12/06/2017;0;V
13/06/2017;0;V
14/06/2017;0;V
15/06/2017;0;V
16/06/2017;0;V
17/06/2017;0;V
18/06/2017;0;V
19/06/2017;0;V
20/06/2017;0;V
21/06/2017;0;V
22/06/2017;0;V
23/06/2017;0;V
24/06/2017;0;V
25/06/2017;0,2;V
26/06/2017;0,2;V
27/06/2017;0,2;V
28/06/2017;0;R
29/06/2017;36,4;R
30/06/2017;0;V
01/07/2017;0;V
02/07/2017;0;V
03/07/2017;0;V
04/07/2017;0;V
05/07/2017;0;V
06/07/2017;0;V
07/07/2017;0;V
08/07/2017;0;V
09/07/2017;0;V
10/07/2017;0;V
11/07/2017;0;V
12/07/2017;0;V
13/07/2017;0;V
14/07/2017;0;V
15/07/2017;0,2;V
16/07/2017;0;V
17/07/2017;0;V
18/07/2017;0;V
19/07/2017;0;V
20/07/2017;0;V
21/07/2017;0;V
22/07/2017;0;V
23/07/2017;0;V
24/07/2017;0;V
25/07/2017;0;V
26/07/2017;34,6;V
27/07/2017;0,6;V
28/07/2017;0;V
29/07/2017;0;V
30/07/2017;0,6;V
31/07/2017;0;V
01/08/2017;0;V
02/08/2017;0;V
03/08/2017;0;V
04/08/2017;0;V
05/08/2017;0;V
06/08/2017;0;V
07/08/2017;0;V
08/08/2017;0;V
09/08/2017;0;V
10/08/2017;0;V
11/08/2017;1,8;V
12/08/2017;0;V
13/08/2017;0;V
14/08/2017;0;V
15/08/2017;0;V
16/08/2017;0;V
17/08/2017;0;V
18/08/2017;0;V
19/08/2017;0;V
20/08/2017;0;V
21/08/2017;0;V
22/08/2017;0;V
23/08/2017;0;V
24/08/2017;0;V
25/08/2017;0;V
26/08/2017;0;V
27/08/2017;0;V
28/08/2017;0;V
29/08/2017;0;V
30/08/2017;0;V
31/08/2017;0;V
01/09/2017;6,2;V
02/09/2017;0;V
03/09/2017;2,8;V
04/09/2017;0;V
05/09/2017;0;V
06/09/2017;0;V
07/09/2017;2,4;V
08/09/2017;0;V
09/09/2017;0,6;V
10/09/2017;93,8;V
11/09/2017;10,6;V
12/09/2017;0,2;V
13/09/2017;0;V
14/09/2017;1,4;V
15/09/2017;0,2;V
16/09/2017;6,6;V
17/09/2017;0,2;V
18/09/2017;0;V
19/09/2017;24,6;V
20/09/2017;0;V
21/09/2017;0;V
22/09/2017;0;V
23/09/2017;0;V
24/09/2017;0,2;V
25/09/2017;2,6;V
26/09/2017;0;V
27/09/2017;0;V
28/09/2017;0;V
29/09/2017;0;V
30/09/2017;0;V
01/10/2017;0,4;V
02/10/2017;0,6;V
03/10/2017;0;V
04/10/2017;0;V
05/10/2017;0,2;V
06/10/2017;0;V
07/10/2017;0;V
08/10/2017;0;V
09/10/2017;0;V
10/10/2017;0;V
11/10/2017;0;V
12/10/2017;0,4;V
13/10/2017;0,2;V
14/10/2017;0,2;V
15/10/2017;0,2;V
16/10/2017;0;V
17/10/2017;0;V
18/10/2017;0;V
19/10/2017;0;V
20/10/2017;0;V
21/10/2017;0;V
22/10/2017;1;R
23/10/2017;4,6;V
24/10/2017;0;V
25/10/2017;0;V
26/10/2017;0;V
27/10/2017;0;V
28/10/2017;0;V
29/10/2017;0;V
30/10/2017;0;V
31/10/2017;0;V
01/11/2017;;@
02/11/2017;;@
03/11/2017;;@
04/11/2017;;@
05/11/2017;;@
06/11/2017;;@
07/11/2017;;@
08/11/2017;;@
09/11/2017;;@
10/11/2017;;@
11/11/2017;;@
12/11/2017;;@
13/11/2017;;@
14/11/2017;;@
15/11/2017;;@
16/11/2017;;@
17/11/2017;;@
18/11/2017;;@
19/11/2017;;@
20/11/2017;;@
21/11/2017;;@
22/11/2017;;@
23/11/2017;;@
24/11/2017;;@
25/11/2017;;@
26/11/2017;;@
27/11/2017;;@
28/11/2017;;@
29/11/2017;;@
30/11/2017;;@
01/12/2017;;@
02/12/2017;;@
03/12/2017;;@
04/12/2017;;@
05/12/2017;;@
06/12/2017;;@
07/12/2017;;@
08/12/2017;;@
09/12/2017;;@
10/12/2017;;@
11/12/2017;;@
12/12/2017;;@
13/12/2017;;@
14/12/2017;;@
15/12/2017;;@
16/12/2017;;@
17/12/2017;;@
18/12/2017;;@
19/12/2017;;@
20/12/2017;;@
21/12/2017;;@
22/12/2017;;@
23/12/2017;;@
24/12/2017;;@
25/12/2017;;@
26/12/2017;;@
27/12/2017;;@
28/12/2017;;@
29/12/2017;;@
30/12/2017;;@
31/12/2017;;@
01/01/2018;;@
02/01/2018;;@
03/01/2018;;@
04/01/2018;;@
05/01/2018;;@
06/01/2018;;@
07/01/2018;;@
08/01/2018;;@
09/01/2018;;@
10/01/2018;;@
11/01/2018;;@
12/01/2018;;@
13/01/2018;;@
14/01/2018;;@
15/01/2018;;@
16/01/2018;;@
17/01/2018;;@
18/01/2018;;@
19/01/2018;;@
20/01/2018;;@
21/01/2018;;@
22/01/2018;;@
23/01/2018;;@
24/01/2018;;@
25/01/2018;;@
26/01/2018;;@
27/01/2018;;@
28/01/2018;;@
29/01/2018;;@
30/01/2018;;@
31/01/2018;;@
01/02/2018;;@
02/02/2018;;@
03/02/2018;;@
04/02/2018;;@
05/02/2018;;@
06/02/2018;;@
07/02/2018;;@
08/02/2018;;@
09/02/2018;;@
10/02/2018;;@
11/02/2018;;@
12/02/2018;;@
13/02/2018;;@
14/02/2018;;@
15/02/2018;;@
16/02/2018;;@
17/02/2018;;@
18/02/2018;;@
19/02/2018;;@
20/02/2018;;@
21/02/2018;;@
22/02/2018;;@
23/02/2018;;@
24/02/2018;;@
25/02/2018;;@
26/02/2018;;@
27/02/2018;;@
28/02/2018;;@
01/03/2018;;@
02/03/2018;;@
03/03/2018;;@
04/03/2018;;@
05/03/2018;;@
06/03/2018;;@
07/03/2018;;@
08/03/2018;;@
09/03/2018;;@
10/03/2018;;@
11/03/2018;;@
12/03/2018;;@
13/03/2018;;@
14/03/2018;;@
15/03/2018;;@
16/03/2018;;@
17/03/2018;;@
18/03/2018;;@
19/03/2018;;@
20/03/2018;;@
21/03/2018;;@
22/03/2018;;@
23/03/2018;;@
24/03/2018;;@
25/03/2018;;@
26/03/2018;;@
27/03/2018;;@
28/03/2018;;@
29/03/2018;;@
30/03/2018;;@
31/03/2018;;@
01/04/2018;;@
02/04/2018;;@
03/04/2018;;@
04/04/2018;;@
05/04/2018;;@
06/04/2018;;@
07/04/2018;;@
08/04/2018;;@
09/04/2018;;@
10/04/2018;;@
11/04/2018;;@
12/04/2018;;@
13/04/2018;;@
14/04/2018;;@
15/04/2018;;@
16/04/2018;;@
17/04/2018;;@
18/04/2018;;@
19/04/2018;;@
20/04/2018;;@
21/04/2018;;@
22/04/2018;;@
23/04/2018;;@
24/04/2018;;@
25/04/2018;;@
26/04/2018;;@
27/04/2018;;@
28/04/2018;;@
29/04/2018;;@
30/04/2018;;@
01/05/2018;;@
02/05/2018;;@
03/05/2018;;@
04/05/2018;;@
05/05/2018;;@
06/05/2018;;@
07/05/2018;;@
08/05/2018;;@
09/05/2018;;@
10/05/2018;;@
11/05/2018;;@
12/05/2018;;@
13/05/2018;;@
14/05/2018;;@
15/05/2018;;@
16/05/2018;;@
17/05/2018;;@
18/05/2018;;@
19/05/2018;;@
20/05/2018;;@
21/05/2018;;@
22/05/2018;;@
23/05/2018;;@
24/05/2018;;@
25/05/2018;;@
26/05/2018;;@
27/05/2018;;@
28/05/2018;;@
29/05/2018;;@
30/05/2018;;@
31/05/2018;;@
01/06/2018;;@
02/06/2018;;@
03/06/2018;;@
04/06/2018;;@
05/06/2018;;@
06/06/2018;;@
07/06/2018;;@
08/06/2018;;@
09/06/2018;;@
10/06/2018;;@
11/06/2018;;@
12/06/2018;;@
13/06/2018;;@
14/06/2018;;@
15/06/2018;;@
16/06/2018;;@
17/06/2018;;@
18/06/2018;;@
19/06/2018;;@
20/06/2018;;@
21/06/2018;;@
22/06/2018;;@
23/06/2018;;@
24/06/2018;;@
25/06/2018;;@
26/06/2018;;@
27/06/2018;;@
28/06/2018;;@
29/06/2018;;@
30/06/2018;;@
01/07/2018;;@
02/07/2018;;@
03/07/2018;;@
04/07/2018;;@
05/07/2018;;@
06/07/2018;;@
07/07/2018;;@
08/07/2018;;@
09/07/2018;;@
10/07/2018;;@
11/07/2018;;@
12/07/2018;;@
13/07/2018;;@
14/07/2018;;@
15/07/2018;;@
16/07/2018;;@
17/07/2018;;@
18/07/2018;;@
19/07/2018;;@
20/07/2018;;@
21/07/2018;;@
22/07/2018;;@
23/07/2018;;@
24/07/2018;;@
25/07/2018;;@
26/07/2018;;@
27/07/2018;;@
28/07/2018;;@
29/07/2018;;@
30/07/2018;;@
31/07/2018;;@
01/08/2018;;@
02/08/2018;;@
03/08/2018;;@
04/08/2018;;@
05/08/2018;;@
06/08/2018;;@
07/08/2018;;@
08/08/2018;;@
09/08/2018;;@
10/08/2018;;@
11/08/2018;;@
12/08/2018;;@
13/08/2018;;@
14/08/2018;;@
15/08/2018;;@
16/08/2018;;@
17/08/2018;;@
18/08/2018;;@
19/08/2018;;@
20/08/2018;;@
21/08/2018;;@
22/08/2018;;@
23/08/2018;;@
24/08/2018;;@
25/08/2018;;@
26/08/2018;;@
27/08/2018;;@
28/08/2018;;@
29/08/2018;;@
30/08/2018;;@
31/08/2018;;@
01/09/2018;;@
02/09/2018;;@
03/09/2018;;@
04/09/2018;;@
05/09/2018;;@
06/09/2018;;@
07/09/2018;;@
08/09/2018;;@
09/09/2018;;@
10/09/2018;;@
11/09/2018;;@
12/09/2018;;@
13/09/2018;;@
14/09/2018;;@
15/09/2018;;@
16/09/2018;;@
17/09/2018;;@
18/09/2018;;@
19/09/2018;;@
20/09/2018;;@
21/09/2018;;@
22/09/2018;;@
23/09/2018;;@
24/09/2018;;@
25/09/2018;;@
26/09/2018;;@
27/09/2018;;@
28/09/2018;;@
29/09/2018;;@
30/09/2018;;@
01/10/2018;;@
02/10/2018;;@
03/10/2018;;@
04/10/2018;;@
05/10/2018;;@
06/10/2018;;@
07/10/2018;;@
08/10/2018;;@
09/10/2018;;@
10/10/2018;;@
11/10/2018;;@
12/10/2018;;@
13/10/2018;;@
14/10/2018;;@
15/10/2018;;@
16/10/2018;;@
17/10/2018;;@
18/10/2018;;@
19/10/2018;;@
20/10/2018;;@
21/10/2018;;@
22/10/2018;;@
23/10/2018;;@
24/10/2018;;@
25/10/2018;;@
26/10/2018;;@
27/10/2018;;@
28/10/2018;;@
29/10/2018;;@
30/10/2018;;@
31/10/2018;;@
01/11/2018;;@
02/11/2018;;@
03/11/2018;;@
04/11/2018;;@
05/11/2018;;@
06/11/2018;;@
07/11/2018;;@
08/11/2018;;@
09/11/2018;;@
10/11/2018;;@
11/11/2018;;@
12/11/2018;;@
13/11/2018;;@
14/11/2018;;@
15/11/2018;;@
16/11/2018;;@
17/11/2018;;@
18/11/2018;;@
19/11/2018;;@
20/11/2018;;@
21/11/2018;;@
22/11/2018;;@
23/11/2018;;@
24/11/2018;;@
25/11/2018;;@
26/11/2018;;@
27/11/2018;;@
28/11/2018;;@
29/11/2018;;@
30/11/2018;;@
01/12/2018;;@
02/12/2018;;@
03/12/2018;;@
04/12/2018;;@
05/12/2018;;@
06/12/2018;;@
07/12/2018;;@
08/12/2018;;@
09/12/2018;;@
10/12/2018;;@
11/12/2018;;@
12/12/2018;;@
13/12/2018;;@
14/12/2018;;@
15/12/2018;;@
16/12/2018;;@
17/12/2018;;@
18/12/2018;;@
19/12/2018;;@
20/12/2018;;@
21/12/2018;;@
22/12/2018;;@
23/12/2018;;@
24/12/2018;;@
25/12/2018;;@
26/12/2018;;@
27/12/2018;;@
28/12/2018;;@
29/12/2018;;@
30/12/2018;;@
31/12/2018;;@
01/01/2019;;@
02/01/2019;;@
03/01/2019;;@
04/01/2019;;@
05/01/2019;;@
06/01/2019;;@
07/01/2019;;@
08/01/2019;;@
09/01/2019;;@
10/01/2019;;@
11/01/2019;;@
12/01/2019;;@
13/01/2019;;@
14/01/2019;;@
15/01/2019;;@
16/01/2019;;@
17/01/2019;;@
18/01/2019;;@
19/01/2019;;@
20/01/2019;;@
21/01/2019;;@
22/01/2019;;@
23/01/2019;;@
24/01/2019;;@
25/01/2019;;@
26/01/2019;;@
27/01/2019;;@
28/01/2019;;@
29/01/2019;;@
30/01/2019;;@
31/01/2019;;@
01/02/2019;;@
02/02/2019;;@
03/02/2019;;@
04/02/2019;;@
05/02/2019;;@
06/02/2019;;@
07/02/2019;;@
08/02/2019;;@
09/02/2019;;@
10/02/2019;;@
11/02/2019;;@
12/02/2019;;@
13/02/2019;;@
14/02/2019;;@
15/02/2019;;@
16/02/2019;;@
17/02/2019;;@
18/02/2019;;@
19/02/2019;;@
20/02/2019;;@
21/02/2019;;@
22/02/2019;;@
23/02/2019;;@
24/02/2019;;@
25/02/2019;;@
26/02/2019;;@
27/02/2019;;@
28/02/2019;;@
01/03/2019;;@
02/03/2019;;@
03/03/2019;;@
04/03/2019;;@
05/03/2019;;@
06/03/2019;;@
07/03/2019;;@
08/03/2019;;@
09/03/2019;;@
10/03/2019;;@
11/03/2019;;@
12/03/2019;;@
13/03/2019;;@
14/03/2019;;@
15/03/2019;;@
16/03/2019;;@
17/03/2019;;@
18/03/2019;;@
19/03/2019;;@
20/03/2019;;@
21/03/2019;;@
22/03/2019;;@
23/03/2019;;@
24/03/2019;;@
25/03/2019;;@
26/03/2019;;@
27/03/2019;;@
28/03/2019;;@
29/03/2019;;@
30/03/2019;;@
31/03/2019;;@
01/04/2019;;@
02/04/2019;;@
03/04/2019;;@
04/04/2019;;@
05/04/2019;;@
06/04/2019;;@
07/04/2019;;@
08/04/2019;;@
09/04/2019;;@
10/04/2019;;@
11/04/2019;;@
12/04/2019;;@
13/04/2019;;@
14/04/2019;;@
15/04/2019;;@
16/04/2019;;@
17/04/2019;;@
18/04/2019;;@
19/04/2019;;@
20/04/2019;;@
21/04/2019;;@
22/04/2019;;@
23/04/2019;;@
24/04/2019;;@
25/04/2019;;@
26/04/2019;;@
27/04/2019;;@
28/04/2019;;@
29/04/2019;;@
30/04/2019;;@
01/05/2019;;@
02/05/2019;;@
03/05/2019;;@
04/05/2019;;@
05/05/2019;;@
06/05/2019;;@
07/05/2019;;@
08/05/2019;;@
09/05/2019;;@
10/05/2019;;@
11/05/2019;;@
12/05/2019;;@
13/05/2019;;@
14/05/2019;;@
15/05/2019;;@
16/05/2019;;@
17/05/2019;;@
18/05/2019;;@
19/05/2019;;@
20/05/2019;;@
21/05/2019;;@
22/05/2019;;@
23/05/2019;;@
24/05/2019;;@
25/05/2019;;@
26/05/2019;;@
27/05/2019;;@
28/05/2019;;@
29/05/2019;;@
30/05/2019;;@
31/05/2019;;@
01/06/2019;;@
02/06/2019;;@
03/06/2019;;@
04/06/2019;;@
05/06/2019;;@
06/06/2019;;@
07/06/2019;;@
08/06/2019;;@
09/06/2019;;@
10/06/2019;;@
11/06/2019;;@
12/06/2019;;@
13/06/2019;;@
14/06/2019;;@
15/06/2019;;@
16/06/2019;;@
17/06/2019;;@
18/06/2019;;@
19/06/2019;;@
20/06/2019;;@
21/06/2019;;@
22/06/2019;;@
23/06/2019;;@
24/06/2019;;@
25/06/2019;;@
26/06/2019;;@
27/06/2019;;@
28/06/2019;;@
29/06/2019;;@
30/06/2019;;@
01/07/2019;;@
02/07/2019;;@
03/07/2019;;@
04/07/2019;;@
05/07/2019;;@
06/07/2019;;@
07/07/2019;;@
08/07/2019;;@
09/07/2019;;@
10/07/2019;;@
11/07/2019;;@
12/07/2019;;@
13/07/2019;;@
14/07/2019;;@
15/07/2019;;@
16/07/2019;;@
17/07/2019;;@
18/07/2019;;@
19/07/2019;;@
20/07/2019;;@
21/07/2019;;@
22/07/2019;;@
23/07/2019;;@
24/07/2019;;@
25/07/2019;;@
26/07/2019;;@
27/07/2019;;@
28/07/2019;;@
29/07/2019;;@
30/07/2019;;@
31/07/2019;;@
01/08/2019;;@
02/08/2019;;@
03/08/2019;;@
04/08/2019;;@
05/08/2019;;@
06/08/2019;;@
07/08/2019;;@
08/08/2019;;@
09/08/2019;;@
10/08/2019;;@
11/08/2019;;@
12/08/2019;;@
13/08/2019;;@
14/08/2019;;@
15/08/2019;;@
16/08/2019;;@
17/08/2019;;@
18/08/2019;;@
19/08/2019;;@
20/08/2019;;@
21/08/2019;;@
22/08/2019;;@
23/08/2019;;@
24/08/2019;;@
25/08/2019;;@
26/08/2019;;@
27/08/2019;;@
28/08/2019;;@
29/08/2019;;@
30/08/2019;;@
31/08/2019;;@
01/09/2019;;@
02/09/2019;;@
03/09/2019;;@
04/09/2019;;@
05/09/2019;;@
06/09/2019;;@
07/09/2019;;@
08/09/2019;;@
09/09/2019;;@
10/09/2019;;@
11/09/2019;;@
12/09/2019;;@
13/09/2019;;@
14/09/2019;;@
15/09/2019;;@
16/09/2019;;@
17/09/2019;;@
18/09/2019;;@
19/09/2019;;@
20/09/2019;;@
21/09/2019;;@
22/09/2019;;@
23/09/2019;;@
24/09/2019;;@
25/09/2019;;@
26/09/2019;;@
27/09/2019;;@
28/09/2019;;@
29/09/2019;;@
30/09/2019;;@
01/10/2019;;@
02/10/2019;;@
03/10/2019;;@
04/10/2019;;@
05/10/2019;;@
06/10/2019;;@
07/10/2019;;@
08/10/2019;;@
09/10/2019;;@
10/10/2019;;@
11/10/2019;;@
12/10/2019;;@
13/10/2019;;@
14/10/2019;;@
15/10/2019;;@
16/10/2019;;@
17/10/2019;;@
18/10/2019;;@
19/10/2019;;@
20/10/2019;;@
21/10/2019;;@
22/10/2019;;@
23/10/2019;;@
24/10/2019;;@
25/10/2019;;@
26/10/2019;;@
27/10/2019;;@
28/10/2019;;@
29/10/2019;;@
30/10/2019;;@
31/10/2019;;@
01/11/2019;;@
02/11/2019;;@
03/11/2019;;@
04/11/2019;;@
05/11/2019;;@
06/11/2019;;@
07/11/2019;;@
08/11/2019;;@
09/11/2019;;@
10/11/2019;;@
11/11/2019;;@
12/11/2019;;@
13/11/2019;;@
14/11/2019;;@
15/11/2019;;@
16/11/2019;;@
17/11/2019;;@
18/11/2019;;@
19/11/2019;;@
20/11/2019;;@
21/11/2019;;@
22/11/2019;;@
23/11/2019;;@
24/11/2019;;@
25/11/2019;;@
26/11/2019;;@
27/11/2019;;@
28/11/2019;;@
29/11/2019;;@
30/11/2019;;@
01/12/2019;;@
02/12/2019;;@
03/12/2019;;@
04/12/2019;;@
05/12/2019;;@
06/12/2019;;@
07/12/2019;;@
08/12/2019;;@
09/12/2019;;@
10/12/2019;;@
11/12/2019;;@
12/12/2019;;@
13/12/2019;;@
14/12/2019;;@
15/12/2019;;@
16/12/2019;;@
17/12/2019;;@
18/12/2019;;@
19/12/2019;;@
20/12/2019;;@
21/12/2019;;@
22/12/2019;;@
23/12/2019;;@
24/12/2019;;@
25/12/2019;;@
26/12/2019;;@
27/12/2019;;@
28/12/2019;;@
29/12/2019;;@
30/12/2019;;@
31/12/2019;;@
01/01/2020;;@
02/01/2020;;@
03/01/2020;;@
04/01/2020;;@
05/01/2020;;@
06/01/2020;;@
07/01/2020;;@
08/01/2020;;@
09/01/2020;;@
10/01/2020;;@
11/01/2020;;@
12/01/2020;;@
13/01/2020;;@
14/01/2020;;@
15/01/2020;;@
16/01/2020;;@
17/01/2020;;@
18/01/2020;;@
19/01/2020;;@
20/01/2020;;@
21/01/2020;;@
22/01/2020;;@
23/01/2020;;@
24/01/2020;;@
25/01/2020;;@
26/01/2020;;@
27/01/2020;;@
28/01/2020;;@
29/01/2020;;@
30/01/2020;;@
31/01/2020;;@
01/02/2020;;@
02/02/2020;;@
03/02/2020;;@
04/02/2020;;@
05/02/2020;;@
06/02/2020;;@
07/02/2020;;@
08/02/2020;;@
09/02/2020;;@
10/02/2020;;@
11/02/2020;;@
12/02/2020;;@
13/02/2020;;@
14/02/2020;;@
15/02/2020;;@
16/02/2020;;@
17/02/2020;;@
18/02/2020;;@
19/02/2020;;@
20/02/2020;;@
21/02/2020;;@
22/02/2020;;@
23/02/2020;;@
24/02/2020;;@
25/02/2020;;@
26/02/2020;;@
27/02/2020;;@
28/02/2020;;@
29/02/2020;;@
01/03/2020;;@
02/03/2020;;@
03/03/2020;;@
04/03/2020;;@
05/03/2020;;@
06/03/2020;;@
07/03/2020;;@
08/03/2020;;@
09/03/2020;;@
10/03/2020;;@
11/03/2020;;@
12/03/2020;;@
13/03/2020;;@
14/03/2020;;@
15/03/2020;;@
16/03/2020;;@
17/03/2020;;@
18/03/2020;;@
19/03/2020;;@
20/03/2020;;@
21/03/2020;;@
22/03/2020;;@
23/03/2020;;@
24/03/2020;;@
25/03/2020;;@
26/03/2020;;@
27/03/2020;;@
28/03/2020;;@
29/03/2020;;@
30/03/2020;;@
31/03/2020;;@
01/04/2020;;@
02/04/2020;;@
03/04/2020;;@
04/04/2020;;@
05/04/2020;;@
06/04/2020;;@
07/04/2020;;@
08/04/2020;;@
09/04/2020;;@
10/04/2020;;@
11/04/2020;;@
12/04/2020;;@
13/04/2020;;@
14/04/2020;;@
15/04/2020;;@
16/04/2020;;@
17/04/2020;;@
18/04/2020;;@
19/04/2020;;@
20/04/2020;;@
21/04/2020;;@
22/04/2020;;@
23/04/2020;;@
24/04/2020;;@
25/04/2020;;@
26/04/2020;;@
27/04/2020;;@
28/04/2020;;@
29/04/2020;;@
30/04/2020;;@
01/05/2020;;@
02/05/2020;;@
03/05/2020;;@
04/05/2020;;@
05/05/2020;;@
06/05/2020;;@
07/05/2020;;@
08/05/2020;;@
09/05/2020;;@
10/05/2020;;@
11/05/2020;;@
12/05/2020;;@
13/05/2020;;@
14/05/2020;;@
15/05/2020;;@
16/05/2020;;@
17/05/2020;;@
18/05/2020;;@
19/05/2020;;@
20/05/2020;;@
21/05/2020;;@
22/05/2020;;@
23/05/2020;;@
24/05/2020;;@
25/05/2020;;@
26/05/2020;;@
27/05/2020;;@
28/05/2020;;@
29/05/2020;;@
30/05/2020;;@
31/05/2020;;@
01/06/2020;;@
02/06/2020;;@
03/06/2020;;@
04/06/2020;;@
05/06/2020;;@
06/06/2020;;@
07/06/2020;;@
08/06/2020;;@
09/06/2020;;@
10/06/2020;;@
11/06/2020;;@
12/06/2020;;@
13/06/2020;;@
14/06/2020;;@
15/06/2020;;@
16/06/2020;;@
17/06/2020;;@
18/06/2020;;@
19/06/2020;;@
20/06/2020;;@
21/06/2020;;@
22/06/2020;;@
23/06/2020;;@
24/06/2020;;@
25/06/2020;;@
26/06/2020;;@
27/06/2020;;@
28/06/2020;;@
29/06/2020;;@
30/06/2020;;@
01/07/2020;;@
02/07/2020;;@
03/07/2020;;@
04/07/2020;;@
05/07/2020;;@
06/07/2020;;@
07/07/2020;;@
08/07/2020;;@
09/07/2020;;@
10/07/2020;;@
11/07/2020;;@
12/07/2020;;@
13/07/2020;;@
14/07/2020;;@
15/07/2020;;@
16/07/2020;;@
17/07/2020;;@
18/07/2020;;@
19/07/2020;;@
20/07/2020;;@
21/07/2020;;@
22/07/2020;;@
23/07/2020;;@
24/07/2020;;@
25/07/2020;;@
26/07/2020;;@
27/07/2020;;@
28/07/2020;;@
29/07/2020;;@
30/07/2020;;@
31/07/2020;;@
01/08/2020;;@
02/08/2020;;@
03/08/2020;;@
04/08/2020;;@
05/08/2020;;@
06/08/2020;;@
07/08/2020;;@
08/08/2020;;@
09/08/2020;;@
10/08/2020;;@
11/08/2020;;@
12/08/2020;;@
13/08/2020;;@
14/08/2020;;@
15/08/2020;;@
16/08/2020;;@
17/08/2020;;@
18/08/2020;;@
19/08/2020;;@
20/08/2020;;@
21/08/2020;;@
22/08/2020;;@
